Jordan Hamilton,49,116,13,45,14,21,62,25,8,3,17,125,2016,0.2,12.4,24
Eric Gordon,231,552,113,294,111,125,99,121,43,14,73,686,2016,2.1,13.5,98
Alonzo Gee,132,255,17,60,44,66,245,72,63,13,55,325,2016,1.9,8.4,169
Tyreke Evans,136,314,33,85,74,93,129,164,32,8,73,379,2016,1.4,17.9,66
Toney Douglas,183,445,81,203,84,99,143,157,70,5,64,531,2016,2.5,14.7,131
Bryce Dejean-Jones,28,69,12,32,11,21,48,15,10,2,11,79,2016,0.2,9.6,17
Anthony Davis,560,1136,35,108,326,430,627,116,78,125,121,1481,2016,7.2,25,148
Dante Cunningham,186,412,55,174,57,82,236,77,42,33,41,484,2016,2.1,8.6,173
Norris Cole,196,484,33,102,52,65,151,167,37,5,75,477,2016,-0.1,10.8,102
Luke Babbitt,122,289,44,109,39,50,148,53,11,7,23,327,2016,1.1,11.6,90
Omer Asik,104,195,0,0,61,112,414,26,21,23,60,269,2016,1.7,11,124
Ryan Anderson,397,929,131,358,199,228,396,73,38,25,90,1124,2016,3.9,17.2,109
Alexis Ajinca,150,315,0,1,52,62,269,31,19,36,54,352,2016,1,13.8,134
Derrick Williams,254,565,44,150,194,256,296,75,29,9,61,746,2016,3.6,17.2,69
Sasha Vujacic,106,277,52,143,32,39,149,84,34,5,44,296,2016,1.1,11.1,83
Lance Thomas,169,382,44,109,102,119,131,53,22,7,57,484,2016,1.7,10.4,109
Kevin Seraphin,84,205,0,2,19,23,126,47,8,36,43,187,2016,-0.2,10.8,67
Kristaps Porzingis,373,886,81,243,201,240,526,93,53,134,121,1028,2016,4.3,17.7,205
Kyle O'Quinn,129,271,5,22,46,60,250,72,20,49,61,309,2016,1.6,17.5,107
Robin Lopez,357,662,0,1,128,161,602,114,16,129,133,842,2016,5.8,17.6,182
Jerian Grant,154,391,22,100,96,123,143,177,50,10,87,426,2016,0.8,11.2,97
Langston Galloway,231,588,77,224,86,114,288,207,77,22,61,625,2016,3.3,11.7,177
Cleanthony Early,12,40,4,15,3,4,26,6,2,3,9,31,2016,-0.2,2.2,16
Jose Calderon,209,455,84,203,42,48,229,299,63,7,87,544,2016,4,12.3,135
Carmelo Anthony,567,1307,105,310,334,403,556,299,62,38,176,1573,2016,6.4,20.3,180
Thanasis Antetokounmpo,3,4,0,1,0,0,1,0,0,0,0,6,2016,0,32.9,2
Lou Amundson,19,53,0,0,14,27,49,12,6,7,15,52,2016,-0.1,6.7,44
Arron Afflalo,354,799,91,238,110,131,266,144,25,10,82,909,2016,2.7,10.9,142
Russell Westbrook,656,1444,101,341,465,573,626,834,163,20,342,1878,2016,14,27.6,200
Dion Waiters,282,706,86,241,112,157,202,154,81,15,120,762,2016,2.1,9.4,143
Kyle Singler,86,221,30,97,29,44,141,24,30,9,32,231,2016,1.1,6.6,120
Andre Roberson,136,274,32,103,33,54,251,47,53,42,35,337,2016,3.4,10.2,133
Cameron Payne,114,278,36,111,19,24,85,108,36,6,44,283,2016,1.4,12.9,80
Anthony Morrow,136,333,79,204,29,39,62,24,22,5,17,380,2016,1.9,10.7,64
