Lucious Harris,SG,25,DAL,61
Tony Dumas,SG,23,DAL,67
Terry Davis,PF,28,DAL,28
Scott Brooks,PG,30,DAL,69
Randy Woods,PG,25,DEN,8
Reggie Williams,SF,31,DEN,52
Bryant Stith,SG,25,DEN,82
Jalen Rose,SG,23,DEN,80
Doug Overton,PG,26,DEN,55
Dikembe Mutombo*,C,29,DEN,74
Antonio McDyess,PF,21,DEN,76
Don MacLean,SF,26,DEN,56
Tom Hammonds,PF,28,DEN,71
LaPhonso Ellis,SF,25,DEN,45
Dale Ellis,SF,35,DEN,81
Rastko Cvetkovic,C,25,DEN,14
Mahmoud Abdul-Rauf,PG,26,DEN,57
Mark West,C,35,DET,47
Otis Thorpe,PF,33,DET,82
Lou Roe,SF,23,DET,49
Don Reid,PF,22,DET,69
Theo Ratliff,C,22,DET,75
Terry Mills,PF,28,DET,82
Mark Macon,PG,26,DET,23
Eric Leckner,C,29,DET,18
Lindsey Hunter,PG,25,DET,80
Allan Houston,SG,24,DET,82
Grant Hill,SF,23,DET,80
Joe Dumars*,PG,32,DET,67
Steve Bardo,SG,27,DET,9
Latrell Sprewell,SG,25,GSW,78
Joe Smith,PF,20,GSW,82
Rony Seikaly,C,30,GSW,64
Clifford Rozier,C,23,GSW,59
Chris Mullin*,SF,32,GSW,55
Donyell Marshall,SF,22,GSW,62
Jerome Kersey,SF,33,GSW,76
Andrew DeClercq,C,22,GSW,22
Robert Churchwell,SG,23,GSW,4
Jon Barry,SG,26,GSW,68
B.J. Armstrong,PG,28,GSW,82
Kenny Smith,PG,30,HOU,68
Eldridge Recasner,SG,28,HOU,63
Hakeem Olajuwon*,C,33,HOU,72
Tracy Moore,SG,30,HOU,8
Sam Mack,SF,25,HOU,31
Charles Jones,PF,38,HOU,46
Henry James,PF,30,HOU,7
Jaren Jackson,SG,28,HOU,4
Robert Horry,SF,25,HOU,71
Alvin Heggs,SF,28,HOU,4
Mario Elie,SF,32,HOU,45
Clyde Drexler*,SG,33,HOU,52
Pete Chilcutt,PF,27,HOU,74
Sam Cassell,PG,26,HOU,61
Mark Bryant,PF,30,HOU,71
Chucky Brown,PF,27,HOU,82
Tim Breaux,SF,25,HOU,54
Melvin Booker,PG,23,HOU,11
Haywoode Workman,PG,30,IND,77
Rik Smits,C,29,IND,63
Dwayne Schintzius,C,27,IND,33
Ricky Pierce,SG,36,IND,76
Reggie Miller*,SG,30,IND,76
Derrick McKey,SF,29,IND,75
Eddie Johnson,SF,36,IND,62
Mark Jackson,PG,30,IND,81
Fred Hoiberg,SG,23,IND,15
Duane Ferrell,SF,30,IND,54
Dale Davis,PF,26,IND,78
Antonio Davis,PF,27,IND,82
Adrian Caldwell,PF,29,IND,51
Travis Best,PG,23,IND,59
Loy Vaught,PF,27,LAC,80
Logan Vander Velden,SF,24,LAC,15
Keith Tower,C,25,LAC,34
Malik Sealy,SF,25,LAC,62
Rodney Rogers,SF,24,LAC,67
Stanley Roberts,C,25,LAC,51
Pooh Richardson,PG,29,LAC,63
Eric Piatkowski,SG,25,LAC,65
Bo Outlaw,PF,24,LAC,80
Lamond Murray,SF,22,LAC,77
Bison Dele,C,26,LAC,65
Terry Dehere,PG,24,LAC,82
Brent Barry,SG,24,LAC,79
Nick Van Exel,PG,24,LAL,74
Sedale Threatt,PG,34,LAL,82
Derek Strong,PF,27,LAL,63
Fred Roberts,C,35,LAL,33
Anthony Peeler,SG,26,LAL,73
Anthony Miller,PF,24,LAL,27
George Lynch,SF,25,LAL,76
Frankie King,PG,23,LAL,6
Eddie Jones,SG,24,LAL,70
Magic Johnson*,PF,36,LAL,32
Vlade Divac,C,27,LAL,79
Cedric Ceballos,SF,26,LAL,78
Elden Campbell,PF,27,LAL,82
Corie Blount,PF,27,LAL,57
Kurt Thomas,PF,23,MIA,74
Danny Schayes,C,36,MIA,32
Alonzo Mourning*,C,25,MIA,70
Voshon Lenard,SG,22,MIA,30
Stacey King,PF,29,MIA,15
LeRon Ellis,C,26,MIA,12
Sasha Danilovic,SG,25,MIA,19
Rex Chapman,SG,28,MIA,56
Keith Askins,SF,28,MIA,75
Glenn Robinson,SF,23,MIL,82
Jerry Reynolds,SF,33,MIL,19
Shawn Respert,SG,23,MIL,62
Johnny Newman,SG,32,MIL,82
Lee Mayberry,PG,25,MIL,82
Randolph Keys,SF,29,MIL,69
Kevin Duckworth,C,31,MIL,8
Terry Cummings,PF,34,MIL,81
Marty Conlon,C,28,MIL,74
Vin Baker,PF,24,MIL,82
Micheal Williams,PG,29,MIN,9
Doug West,SG,28,MIN,73
Charles Smith,PG,28,MIN,8
Eric Riley,C,25,MIN,25
Isaiah Rider,SG,24,MIN,75
Terry Porter,PG,32,MIN,82
Sam Mitchell,SF,32,MIN,78
Tom Gugliotta,PF,26,MIN,78
Kevin Maurice Garnett,SF,19,MIN,80
Mark Davis,SF,22,MIN,57
Marques Bragg,PF,25,MIN,53
Jerome Allen,SG,23,MIN,41
Jayson Williams,PF,27,NJN,80
Robert Werdann,C,25,NJN,13
Ed O'Bannon,SG,23,NJN,64
Rick Mahorn,C,37,NJN,50
Armen Gilliam,SF,31,NJN,78
Vern Fleming,PG,33,NJN,77
Kevin Edwards,SG,30,NJN,34
Yinka Dare,C,23,NJN,58
Chris Childs,PG,28,NJN,78
P.J. Brown,C,26,NJN,81
Charlie Ward,PG,25,NYK,62
John Starks,SG,30,NYK,81
Charles Oakley,PF,32,NYK,53
Anthony Mason,SF,29,NYK,82
Derek Harper,PG,34,NYK,82
Gary Grant,PG,30,NYK,47
Patrick Ewing*,C,33,NYK,76
Hubert Davis,SG,25,NYK,74
David Vaughn,PF,22,ORL,33
Jeff Turner,PF,33,ORL,13
Brooks Thompson,PG,25,ORL,33
Brian Shaw,PG,29,ORL,75
Dennis Scott,SF,27,ORL,82
Donald Royal,SF,29,ORL,64
Shaquille O'Neal,C,23,ORL,54
Jon Koncak,C,32,ORL,67
Anfernee Hardaway,PG,24,ORL,82
Horace Grant,PF,30,ORL,63
Anthony Bowie,SG,32,ORL,74
Anthony Bonner,PF,27,ORL,4
Darrell Armstrong,PG,27,ORL,13
Nick Anderson,SG,28,ORL,77
Trevor Wilson,PF,27,PHI,6
Scott Williams,PF,27,PHI,13
Clarence Weatherspoon,SF,25,PHI,78
LaSalle Thompson,C,34,PHI,44
Jerry Stackhouse,SG,21,PHI,72
Scott Skiles,PG,31,PHI,10
Trevor Ruffin,PG,25,PHI,61
Vernon Maxwell,PG,30,PHI,75
Sean Higgins,SF,27,PHI,44
Richard Dumas,PF,26,PHI,39
Derrick Coleman,PF,28,PHI,11
Mike Brown,C,32,PHI,9
Elmer Bennett,PG,25,PHI,8
Derrick Alston,C,23,PHI,73
Hot Rod Williams,C,33,PHO,62
Wayman Tisdale,PF,31,PHO,63
Stefano Rusconi,PF,27,PHO,7
Wesley Person,SG,24,PHO,82
Elliot Perry,PG,26,PHO,81
Danny Manning,PF,29,PHO,33
Joe Kleine,C,34,PHO,56
Kevin Johnson,PG,29,PHO,56
A.C. Green,SF,32,PHO,82
Michael Finley,SF,22,PHO,82
John Coker,C,24,PHO,5
Chris Carr,SG,21,PHO,60
Mario Bennett,SF,22,PHO,19
Charles Barkley*,PF,32,PHO,71
Dontonio Wingfield,SF,21,POR,44
Buck Williams,PF,35,POR,70
Gary Trent,PF,21,POR,69
Rod Strickland,PG,29,POR,67
Arvydas Sabonis*,C,31,POR,73
Rumeal Robinson,PG,29,POR,43
James Robinson,PG,25,POR,76
Clifford Robinson,SF,29,POR,78
Aaron McKie,SG,23,POR,81
Harvey Grant,PF,30,POR,76
Chris Dudley,C,30,POR,80
Anthony Cook,PF,28,POR,11
Randolph Childress,PG,23,POR,28
Corliss Williamson,SF,22,SAC,53
Michael Smith,PF,23,SAC,65
Lionel Simmons,SF,27,SAC,54
Mitch Richmond*,SG,30,SAC,81
Olden Polynice,C,31,SAC,81
Clint McDaniel,SG,23,SAC,12
Sarunas Marciulionis*,SG,31,SAC,53
Bobby Hurley,PG,24,SAC,72
Byron Houston,PF,26,SAC,25
Brian Grant,PF,23,SAC,78
Tyus Edney,PG,22,SAC,80
Duane Causwell,C,27,SAC,73
David Robinson*,C,30,SAS,82
Doc Rivers,PG,34,SAS,78
Chuck Person,SF,31,SAS,80
Will Perdue,C,30,SAS,80
Avery Johnson,PG,30,SAS,82
Carl Herrera,PF,29,SAS,44
Sean Elliott,SF,27,SAS,77
Dell Demps,SG,25,SAS,16
Vinny Del Negro,SG,29,SAS,82
Greg Anderson,PF,31,SAS,46
Cory Alexander,PG,22,SAS,60
